fiscal_date,sales,cost_of_goods,gross_profit,operating_income,other_income_expense,pretax_income,income_tax,net_income,eps_basic,eps_diluted,basic_shares_outstanding,diluted_shares_outstanding,ebit,ebitda,net_income_continuous_operations,minority_interests,preferred_stock_dividends,research_and_development,selling_general_and_administrative,other_operating_expenses,income,expense,symbol
31/12/2021,1579926000,909837000,670089000,586638000,-367845000,187987000,-973000,319602000,16.15,15.48,19792000,19792000,218793000,743932000,355298000,,,,80688000,2763000,,30806000,CHRD
31/12/2020,1083334000,843286000,240048000,77782000,-3930112000,-4036982000,-266409000,-3770573000,-184.595068,-184.595068,19991000,19991000,-3860437000,377889000,-3770573000,80333000,,,159518000,2748000,,176545000,CHRD
31/12/2023,1879800000,617400000,1262400000,347300000,600000,367600000,81500000,286100000,,,,,347300000,375700000,286100000,,,,178900000,,19700000,,CACC
31/12/2022,1823000000,475000000,1348000000,702300000,2800000,711700000,175900000,535800000,39.5,39.32,13563885,13563885,702300000,727900000,535800000,,,,164300000,100000,6600000,,CACC
31/12/2021,1850900000,421100000,1429800000,1255800000,3900000,1260900000,302600000,958300000,59.57,59.52,16085823,16085823,1255800000,1282100000,958300000,,,,165600000,-700000,1200000,,CACC
31/12/2020,1665200000,416400000,1248800000,552800000,-6200000,549500000,128500000,421000000,23.57,23.47,17858935,17858935,552800000,584000000,421000000,,,,139100000,-1200000,2900000,,CACC
31/12/2023,1168518000,769498000,399020000,227481000,516000,223154000,45531000,177623000,,,,,227997000,274776000,177623000,,,,157778000,,,4843000,AAON
31/12/2022,888788000,651216000,237572000,126749000,411000,124533000,24157000,100376000,1.26,1.24,79582480,79582480,127160000,162578000,100376000,,,,102773000,,,2627000,AAON
31/12/2021,534517000,396687000,137830000,69232000,82000,69182000,10424000,58758000,0.75,0.73,78606298,78606298,69314000,99709000,58758000,,,,68598000,,,132000,AAON
31/12/2020,514551000,358702000,155849000,95358000,6529000,101975000,22966000,79009000,1.006667,0.993333,78253018,78253018,95358000,114514000,79009000,,,,60491000,,88000,,AAON
30/09/2023,12664000000,10354000000,2310000000,1181000000,-133000000,742000000,133000000,609000000,5.07,4.95,120100000,120100000,1048000000,1968000000,609000000,,,,886000000,,,306000000,BERY
30/09/2022,14495000000,12123000000,2372000000,1265000000,-45000000,934000000,168000000,766000000,5.87,5.77,130600000,130600000,1220000000,2062000000,766000000,,,,850000000,,,286000000,BERY
30/09/2021,13850000000,11352000000,2498000000,1343000000,-102000000,905000000,172000000,733000000,5.45,5.3,134600000,134600000,1241000000,2146000000,733000000,,,,867000000,,,336000000,BERY
30/09/2020,11709000000,9301000000,2408000000,1258000000,-110000000,713000000,154000000,559000000,4.22,4.14,132600000,132600000,1148000000,2072000000,559000000,,,,850000000,,,435000000,BERY
31/03/2023,593036000,177567000,415469000,21460000,-27324000,-12144000,-976000,-11168000,-0.1,-0.1,109656200,109656200,4477000,58384000,-11168000,-153000,,,248008000,118755000,10974000,16621000,MMYT
31/03/2022,303922000,58750000,245172000,-32885000,-7746000,-46674000,-1107000,-45567000,-0.42,-0.42,108471149,108471149,-31361000,4596000,-45567000,162000,,,178866000,69833000,9980000,15313000,MMYT
31/03/2021,163440000,22308000,141132000,-69189000,5898000,-60549000,-4507000,-56042000,-0.52,-0.52,106797245,106797245,-56647000,-29353000,-56042000,403000,,,135870000,41441000,7182000,3902000,MMYT
31/03/2020,511529000,154320000,357209000,-157931000,-288232000,-447546000,-29000,-447517000,-4.26,-4.26,105190507,105190507,-444658000,-124230000,-447517000,-264000,,,316905000,164553000,3332000,2888000,MMYT
31/12/2023,7491400000,2384700000,5106700000,-176600000,-2853100000,-3724200000,149600000,-3873800000,-9.52,-9.52,425679037,425679037,-2816300000,344800000,-3873800000,-177900000,,,1772700000,1195400000,212700000,907900000,LBTYK
31/12/2022,7195700000,2085700000,5110000000,231900000,1705000000,1424200000,318900000,1986300000,3.01,2.96,489555582,489555582,2013500000,1269900000,1105300000,-513100000,,,1623400000,1083300000,76600000,589300000,LBTYK
31/12/2021,10311300000,3017600000,7293700000,1301300000,13581600000,14000800000,473300000,13610100000,24.16,23.59,555695224,555695224,14882900000,14625800000,13527500000,-183300000,,,2154100000,1484600000,13900000,882100000,LBTYK
31/12/2020,11545400000,3320600000,8224800000,2128300000,-2742500000,-1801000000,-275900000,-1466700000,-2.7,-2.7,602083910,602083910,-614200000,4186400000,-1525100000,-161300000,,,2150000000,1719300000,57100000,1186800000,LBTYK
31/12/2022,2769000000,1472000000,1297000000,784000000,-21000000,645000000,114000000,531000000,5.53,5.53,96021700,96021700,763000000,953000000,531000000,,,185000000,328000000,,,118000000,ALSN
31/12/2021,2402000000,1257000000,1145000000,669000000,19000000,572000000,130000000,442000000,4.13,4.13,107000000,107000000,688000000,836000000,442000000,,,171000000,305000000,,,116000000,ALSN
31/12/2020,2081000000,1083000000,998000000,534000000,-4000000,393000000,94000000,299000000,2.62,2.62,114122137,114122137,530000000,678000000,299000000,,,147000000,317000000,,,137000000,ALSN
31/12/2023,1586159000,,,,,619726000,134549000,485177000,,,,,,,485177000,-8117000,4241000,,641737000,,,,CBSH
31/12/2022,1509226000,,,,,632378000,132358000,500020000,3.68,3.67,131539000,131539000,,,500020000,-11621000,4450000,,588457000,,,,CBSH
31/12/2021,1425876000,,,,,686301000,145711000,540590000,3.92,3.91,134125000,134125000,,,540590000,-9825000,4846000,,556198000,,,,CBSH
31/12/2020,1346746000,,,,,441178000,87293000,353885000,2.513767,2.513767,136086974,136086974,,,353885000,172000,3215000,,532721000,,,,CBSH
31/12/2023,1830208000,72547000,1757661000,170885000,93000,257521000,49756000,207765000,0.65,0.65,318151000,318151000,170885000,196602000,207765000,,,1044071000,542705000,,86543000,,EXEL
31/12/2022,1611062000,57909000,1553153000,201484000,-197000,234352000,52070000,182282000,0.57,0.56,321526000,321526000,201484000,222359000,182282000,,,891813000,459856000,,33065000,,EXEL
31/12/2021,1434970000,52873000,1382097000,286666000,-184000,294154000,63091000,231063000,0.73,0.72,314884000,314884000,286666000,300296000,231063000,,,693716000,401715000,,7672000,,EXEL
31/12/2020,987538000,36272000,951266000,110060000,912000,130837000,19056000,111781000,0.36,0.35,308271000,308271000,110060000,119201000,111781000,,,547851000,293355000,,19865000,,EXEL
31/12/2023,8583000000,6750000000,1833000000,651000000,21000000,612000000,-373000000,985000000,2.53,2.5,393000000,393000000,700000000,1002000000,985000000,8000000,,,1182000000,,28000000,88000000,NOV
31/12/2022,7237000000,5903000000,1334000000,264000000,33000000,238000000,83000000,155000000,0.4,0.39,390000000,390000000,316000000,617000000,155000000,0,,,1070000000,,19000000,78000000,NOV
31/12/2021,5524000000,4750000000,774000000,-134000000,-28000000,-230000000,15000000,-245000000,-0.65,-0.65,386000000,386000000,-153000000,153000000,-245000000,-5000000,,,908000000,,9000000,77000000,NOV
31/12/2020,6090000000,5656000000,434000000,-534000000,-2168000000,-2779000000,-242000000,-2537000000,-6.62,-6.62,384000000,384000000,-2695000000,-452000000,-2537000000,-5000000,,,968000000,,7000000,84000000,NOV
31/12/2023,4982659000,1008466000,3974193000,1083634000,-578011000,-66527000,4585000,463009000,0.51,0.51,911588000,911588000,505623000,2484263000,463009000,,,,1539579000,,,572150000,ADT
31/12/2022,5168330000,1200492000,3967838000,689182000,-275771000,149146000,37682000,132663000,0.15,0.15,903210000,903210000,413411000,2325189000,132663000,,,,1662826000,,,264265000,ADT
31/12/2021,4202723000,772785000,3429938000,48950000,-67959000,-475834000,-131657000,-340820000,-0.41,-0.41,825365000,825365000,-19009000,1972042000,-340820000,,,,1541330000,,,456825000,ADT
31/12/2020,5314787000,1516528000,3798259000,160848000,-231578000,-778919000,-146726000,-632193000,-0.82,-0.82,776338000,776338000,-70730000,2082908000,-632193000,,,,1723644000,,,708189000,ADT
31/12/2023,2418257000,1886533000,531724000,171241000,,119632000,45409000,74223000,1.28,1.28,57717102,57717102,171241000,281922000,74223000,,174000,,327068000,,,51609000,BFAM
31/12/2022,2020487000,1541834000,478653000,157585000,-5917000,112182000,31541000,80641000,1.38,1.37,58344817,58344817,151668000,263727000,80641000,,343000,,289156000,,,39486000,BFAM
31/12/2021,1755307000,1340296000,415011000,129018000,-2571000,90348000,19889000,70459000,1.16,1.15,60312690,60312690,126447000,237848000,70459000,,305000,,256821000,,,36099000,BFAM
31/12/2020,1515093000,1210544000,304549000,53334000,,15652000,-11340000,26992000,0.45,0.45,59533104,59533104,53334000,164996000,26992000,,116000,,219563000,,,37682000,BFAM
31/12/2023,370000000,130250000,239750000,-222538000,71816000,-150722000,2888000,-153610000,-1.94,-1.94,79220930,79220930,-222538000,-202701000,-153610000,,,387332000,76162000,-1206000,,,CRSP
31/12/2022,436000,110250000,-109814000,-673161000,22661000,-650500000,-325000,-650175000,-8.36,-8.36,77746575,77746575,-673161000,-648989000,-650175000,,,461645000,102464000,-762000,,,CRSP
31/12/2021,913081000,101178000,811903000,373528000,6003000,379531000,1870000,377661000,4.97,4.7,75948686,75948686,373528000,391481000,377661000,,,340567000,99690000,-1882000,,,CRSP
31/12/2020,543000,,,-354435000,6379000,-348056000,809000,-348865000,-5.29,-5.29,65949672,65949672,-354435000,-345251000,-348865000,,,266946000,88208000,-176000,,,CRSP
30/06/2023,3472185000,1923452000,1548733000,748698000,35492000,711212000,149412000,553700000,3.58,3.51,154044000,154044000,784190000,914691000,553700000,,,,800035000,,,72978000,HRB
30/06/2022,3463270000,1881262000,1582008000,744897000,2454000,659069000,98423000,553674000,3.27,3.22,168519000,168519000,747351000,889529000,553674000,,,,837111000,,,88282000,HRB
30/04/2021,3413987000,1842092000,1571895000,769627000,5979000,668736000,78524000,583791000,3.11,3.08,186832000,186832000,775606000,932458000,583791000,,,,802268000,,,106870000,HRB
30/04/2020,2639720000,1712276000,927444000,183083000,-90363000,-3374000,-9530000,-7526000,-0.04,-0.04,196701000,196701000,92720000,368256000,-7526000,,,,744361000,,14254000,96094000,HRB
31/12/2023,11995934000,10613762000,1382172000,80111000,71590000,-82704000,-35408000,-47296000,,,,,151701000,754863000,-47296000,-2653000,,,698899000,,,234405000,MTZ
31/12/2022,9778038000,8586333000,1191705000,125120000,30194000,43059000,9171000,33888000,0.45,0.42,74917000,74917000,155314000,662462000,33888000,-534000,,,559437000,,,112255000,MTZ
31/12/2021,7951781000,6805735000,1146046000,416250000,67238000,430075000,99346000,330729000,4.54,4.45,72499000,72499000,483488000,906314000,330729000,-1898000,,,306970000,,,53413000,MTZ
31/12/2020,6320975000,5270879000,1050096000,449364000,35429000,425164000,102465000,322699000,4.43,4.38,72799000,72799000,484793000,788113000,322699000,149000,,,302981000,,,59629000,MTZ
31/12/2023,2048100000,1044600000,1003500000,164300000,-28900000,88100000,6600000,81500000,1.54,1.51,52800000,52800000,138400000,265600000,81500000,,,175200000,664000000,,3000000,50300000,MASI
31/12/2022,2035800000,977000000,1058800000,210000000,7300000,193400000,49900000,143500000,2.68,2.6,53600000,53600000,219100000,347900000,143500000,,,191400000,657400000,,1800000,25700000,MASI
31/12/2021,1239200000,430800000,808400000,275800000,-2000000,274400000,44800000,229600000,4.16,3.98,55200000,55200000,274700000,312300000,229600000,,,137200000,395400000,,900000,300000,MASI
31/12/2020,1143700000,400700000,743000000,255300000,3200000,263700000,23400000,240300000,4.39,4.14,54700000,54700000,264000000,290100000,240300000,20000,,118700000,369000000,,5500000,300000,MASI
30/09/2023,648407000,262610000,385797000,107400000,-665000,115158000,23581000,91577000,1.29,1.28,70801000,70801000,127542000,179695000,91577000,,,148545000,129852000,,20807000,12384000,MTSI
30/09/2022,675170000,268989000,406181000,132674000,114746000,243120000,-196835000,439955000,6.3,6.18,69783000,69783000,251671000,308900000,439955000,,,148228000,125279000,,4251000,8551000,MTSI
30/09/2021,606920000,265065000,341855000,81002000,-17464000,42945000,4972000,37973000,0.55,0.54,68449000,68449000,65008000,146091000,37973000,,,138844000,122009000,,1470000,22063000,MTSI
30/09/2020,530037000,259871000,270166000,4527000,-18709000,-41562000,4516000,-46078000,-0.69,-0.69,66606000,66606000,-14182000,78731000,-46078000,,,141333000,124306000,,,27380000,MTSI
31/12/2023,1523851000,,,,,377265000,72654000,304611000,6.68,6.61,45596000,45596000,384566000,,304611000,,,,15917000,,,7301000,RLI
31/12/2022,1703874000,,,,,720678000,137267000,583411000,12.83075,12.74,45469752,45469752,728725000,,583411000,,,,12900000,,,8047000,RLI
31/12/2021,1183548000,,,,,344321000,64967000,279354000,6.168207,6.11,45289337,45289337,351998000,,279354000,,,,13330000,,,7677000,RLI
31/12/2020,987679000,,,,,189841000,32750000,157091000,3.479885,3.46,45142580,45142580,197444000,,157091000,,,,10265000,,,7603000,RLI
31/01/2023,6996215000,3983598000,3012617000,1126691000,13303000,1109467000,217830000,891637000,50.81,50.81,17549000,17549000,1152821000,1321804000,891637000,,,,1697486000,,12827000,43354000,DDS
31/01/2022,6624267000,3747665000,2876602000,1118133000,13322000,1088363000,225890000,862473000,41.88,41.88,20592000,20592000,1133302000,1310049000,862473000,,,,1559148000,,1847000,44939000,DDS
31/01/2021,4433185000,3069063000,1364122000,-82913000,-21383000,-153404000,-81750000,-71654000,-3.16,-3.16,22697000,22697000,-103791000,125490000,-71654000,,,,1233657000,,505000,49613000,DDS
31/12/2023,5303322000,4589083000,714239000,334008000,10141000,348095000,83701000,264394000,7.36,7.36,35920000,35920000,334008000,382020000,264394000,,,,326040000,54191000,3946000,,LSTR
31/12/2022,7436562000,6476335000,960227000,567921000,3162000,567463000,136549000,430914000,11.76,11.76,36633000,36633000,571083000,625374000,430914000,,,,347114000,45192000,,3620000,LSTR
31/12/2021,6537568000,5671485000,866083000,502811000,2857000,501692000,120168000,381524000,9.98,9.98,38235000,38235000,505668000,552420000,381524000,0,,,326741000,36531000,,3976000,LSTR
31/12/2020,4132981000,3579485000,553496000,267627000,-14677000,248997000,56891000,192106000,5.004577,4.98,38386063,38386063,252950000,313482000,192106000,0,,,255406000,30463000,,3953000,LSTR
31/12/2023,251000000,,,,,155000000,,155000000,0.05,0.05,618400000,618400000,,,155000000,,,,62000000,,,,AGNC
31/12/2022,-1116000000,,,,,-1190000000,,-1190000000,-2.41,-2.41,537000000,537000000,,,-1190000000,,,,41000000,,,,AGNC
31/12/2021,837000000,,,,,749000000,,749000000,1.23,1.22,528100000,528100000,,,749000000,,,,54000000,,,,AGNC
31/12/2020,-173000000,,,,,-266000000,,-266000000,-0.66,-0.66,551600000,551600000,,,-266000000,,,,56000000,,,,AGNC
31/12/2023,6454000000,4685000000,1769000000,-6000000,-274000000,-228000000,-61000000,-167000000,-2.01,-2.01,83199000,83199000,-204000000,612000000,-167000000,,,,1226000000,,74000000,24000000,WFG
31/12/2022,9701000000,5142000000,4559000000,2619000000,-23000000,2593000000,618000000,1975000000,21.06,20.86,93760000,93760000,2617000000,3225000000,1975000000,,,,1333000000,,27000000,24000000,WFG
31/12/2021,10518000000,4645000000,5873000000,3945000000,-2000000,3898000000,951000000,2947000000,27.03,27.03,109021000,109021000,3946000000,4529000000,2947000000,,,,1198000000,,11000000,48000000,WFG
31/12/2020,3232652790,1891689570,1340963220,614300130,-10349220,583991700,149324460,434667240,8.56,8.56,68672000,68672000,607647060,763624590,434667240,,,,534463290,,10349220,23655360,WFG
31/12/2023,1016472000,,,,,417475000,-682000,418157000,,,,,,,418157000,-78944000,6412000,,321755000,,,,STWD
31/12/2022,1449575000,,,,,997538000,-61523000,1059061000,2.8,2.74,305524000,305524000,,,1059061000,-187586000,17113000,,331051000,,,,STWD
31/12/2021,885144000,,,,,501095000,8669000,492426000,1.54,1.52,285942000,285942000,,,492426000,-44687000,6808000,,339075000,,,,STWD
31/12/2020,822436000,,,,,386278000,20197000,366081000,1.16,1.16,281978000,281978000,,,366081000,-34392000,5216000,,285001000,,,,STWD
31/12/2023,3095200000,1664000000,1431200000,543400000,33800000,483500000,106600000,376900000,2.43,2.42,155100000,155100000,577200000,667800000,376900000,,,163500000,643100000,,,93700000,VNT
31/12/2022,3184400000,1756100000,1428300000,577900000,19100000,527400000,126100000,401300000,2.5,2.49,160500000,160500000,597000000,724600000,401300000,,,144600000,627800000,,,69600000,VNT
31/12/2021,2990700000,1657600000,1333100000,582200000,-400000,534000000,121000000,413000000,2.44,2.43,169000000,169000000,581800000,670100000,413000000,,,129300000,579200000,,,47800000,VNT
31/12/2020,2704600000,1516500000,1188100000,553500000,-83200000,460300000,118300000,342000000,2.03,2.02,168400000,168400000,470300000,633900000,342000000,,,126200000,508400000,,,10000000,VNT
31/12/2023,787647000,9133000,778514000,-353711000,101222000,-333965000,32321000,-366286000,-2.56,-2.56,143190000,143190000,-258368000,-322836000,-366286000,,,899625000,232600000,,,75597000,IONS
31/12/2022,587367000,14116000,573251000,-410196000,160328000,-257985000,11737000,-269722000,-1.9,-1.9,141848000,141848000,-255185000,-400682000,-269722000,0,,833147000,150300000,,,2800000,IONS
31/12/2021,810456000,10842000,799614000,-14739000,-5013000,-29148000,-551000,-28597000,-0.2,-0.2,141021000,141021000,-24748000,-9935000,-28597000,0,,643453000,170900000,,,4400000,IONS
31/12/2020,729264000,11947000,717317000,-149960000,24840000,-134552000,345191000,-479743000,-3.18,-3.18,139612000,139612000,-128352000,-136194000,-479743000,35480000,201000,535077000,332200000,,,6200000,IONS
31/12/2023,728700000,548354000,180346000,31422000,-26226000,14048000,768000,13280000,,,,,31422000,105552000,13280000,,,,101491000,,8852000,,CAVA
31/12/2022,564119000,466135000,97984000,-14777000,-44070000,-58894000,93000,-58987000,-0.609052,-0.609052,96850473,96850473,-58847000,28866000,-58987000,,,,70037000,19313000,,47000,CAVA
31/12/2021,500072000,417919000,82153000,-27177000,-5287000,-37274000,117000,-37391000,-0.386069,-0.386069,96850473,96850473,-32464000,37649000,-37391000,,,,64792000,8194000,,4810000,CAVA
31/01/2023,3697751000,1593213000,2104538000,106679000,-14031000,67016000,56631000,10385000,0.06,0.05,50307000,50307000,97252000,243526000,10385000,-7569000,,,2000533000,-2674000,4604000,30236000,ANF
31/01/2022,3712768000,1400773000,2311995000,355184000,-12100000,308974000,38908000,270066000,4.41,4.2,59597000,59597000,346932000,503067000,270066000,-7056000,,,1965138000,-8327000,3848000,37958000,ANF
31/01/2021,3125384000,1234179000,1891205000,52468000,-72937000,-48743000,60211000,-108954000,-1.82,-1.82,62551000,62551000,-17017000,222201000,-108954000,-5067000,,,1843791000,-5054000,3452000,31726000,ANF
31/12/2023,2674300000,1414300000,1260000000,657300000,44200000,473000000,56200000,416800000,2.08,2.07,200300000,200300000,701500000,1188700000,416800000,,,,,-7100000,,228500000,OGE
31/12/2022,3375700000,2163800000,1211900000,653500000,306100000,789300000,123600000,665700000,3.33,3.32,200200000,200200000,959600000,1131500000,665700000,,,,,-4000000,,170300000,OGE
31/12/2021,3653700000,2590700000,1063000000,547700000,492600000,878500000,141200000,737300000,3.68,3.68,200100000,200100000,1040300000,1458200000,737300000,,,,,-3500000,,161800000,OGE
31/12/2020,2122300000,1107400000,1014900000,524100000,-664800000,-301100000,-127400000,-173700000,-0.87,-0.87,200100000,200100000,-140700000,245800000,-173700000,,,,,-1900000,,160400000,OGE
31/12/2023,6833000000,5667500000,1165500000,801700000,-65600000,559300000,107300000,452000000,3.66,3.57,125900000,125900000,740400000,1363400000,452000000,8200000,,,406700000,-42900000,4300000,181100000,OLN
31/12/2022,9376200000,7194300000,2181900000,1804300000,13400000,1676000000,349100000,1326900000,9.16,8.94,144900000,144900000,1819900000,2444000000,1326900000,0,,,393900000,-16300000,2200000,143900000,OLN
31/12/2021,8910600000,6616400000,2294200000,1878700000,7800000,1538700000,242000000,1296700000,8.15,7.96,159100000,159100000,1886700000,2497100000,1296700000,0,,,416900000,-1400000,200000,348000000,OLN
31/12/2020,5758000000,5374600000,383400000,-37900000,-689900000,-1020000000,-50100000,-969900000,-6.14,-6.14,157900000,157900000,-727300000,549900000,-969900000,,,,422000000,-700000,500000,292700000,OLN
31/12/2023,3592000000,,,,,1144000000,263000000,881000000,6.47,6.44,132000000,132000000,,,881000000,,4000000,,1417000000,,,,CMA
31/12/2022,3534000000,,,,,1476000000,325000000,1151000000,8.56,8.47,131000000,131000000,,,1151000000,,6000000,,1277000000,,,,CMA
31/12/2021,2967000000,,,,,1490000000,322000000,1168000000,8.45,8.35,135000000,135000000,,,1168000000,,5000000,,1190000000,,,,CMA
31/12/2020,2912000000,,,,,621000000,124000000,497000000,3.45,3.43,139000000,139000000,,,497000000,,2000000,,1087000000,,,,CMA
31/12/2023,4403589000,2543954000,1859635000,-475604000,24395000,-331704000,8616000,-340320000,,,,,-305481000,-192382000,-340320000,,,555916000,1352084000,427239000,145728000,26223000,LYFT
31/12/2022,4095135000,2435736000,1659399000,-1458916000,-147130000,-1578639000,5872000,-1584511000,-4.47,-4.47,354731000,354731000,-1558904000,-1263718000,-1584511000,,,856777000,1817692000,443846000,47142000,19735000,LYFT
31/12/2021,3208323000,1702317000,1506006000,-1135217000,126859000,-1050919000,11225000,-1062144000,-3.02,-3.02,334724000,334724000,-999284000,-980696000,-1062144000,,,911946000,1327044000,402233000,9074000,51635000,LYFT
31/12/2020,2364681000,1447516000,917165000,-1808382000,15000,-1797391000,-44534000,-1752857000,-5.61,-5.61,312175000,312175000,-1764713000,-1608310000,-1752857000,,,909126000,1362458000,453963000,43654000,32678000,LYFT
31/12/2022,1.43635E+11,1.36276E+11,7358451000,3162754000,-271463000,1879725000,341514000,1840069000,1.6491,1.6391,1091990000,1091990000,3473053000,4777357000,1538211000,-39230000,,,3676466000,519231000,551995000,1593328000,UGP
31/12/2021,1.09733E+11,1.04828E+11,4904876000,1517693000,-39371000,1006648000,188034000,883878000,0.7799,0.7753,1090500000,1090500000,1834495000,2770066000,818614000,-33415000,,,3398217000,-11034000,413120000,827847000,UGP
31/12/2020,74058056000,70056447000,4001609000,1443964000,-34873000,951581000,304517000,927697000,0.8201,0.8152,1089414000,1089414000,1719879000,2548922000,647064000,-34314000,,,2605138000,-47493000,347387000,768298000,UGP
31/12/2022,990657000,382688000,607969000,540917000,92767000,443736000,117494000,652484000,0.68,0.68,478232000,478232000,633684000,837569000,326242000,,,,62125000,4927000,,189948000,AM
31/12/2021,968874000,336582000,632292000,563997000,60024000,448740000,117123000,663234000,0.69,0.69,477270000,477270000,624021000,833910000,331617000,,,,63838000,4457000,,175281000,AM
31/12/2020,971391000,344848000,626543000,558931000,-590139000,-178215000,-55688000,-245054000,-0.26,-0.26,478278000,478278000,-31208000,824823000,-122527000,,,,52213000,15399000,,147007000,AM
31/12/2023,826788000,196519000,630269000,620219000,-24019000,547293000,45952000,501341000,2.69,2.69,74176000,74176000,596200000,768111000,501341000,-301253000,299000,,10603000,-553000,,48907000,VNOM
31/12/2022,865767000,177443000,688324000,680482000,-17722000,622351000,-32653000,655004000,2,2,75612000,75612000,662760000,801969000,655004000,-503331000,365000,,8542000,-700000,,40409000,VNOM
31/12/2021,504297000,135545000,368752000,361572000,-69330000,258198000,1521000,256677000,0.85,0.85,68319000,68319000,292242000,464638000,256677000,-198738000,193000,,7800000,-620000,,34044000,VNOM
31/12/2020,249566000,120345000,129221000,122116000,-140063000,-50947000,142466000,-193413000,-2.84,-2.84,67686000,67686000,-17947000,223903000,-193413000,1109000,44000,,8165000,-1060000,,33000000,VNOM
31/12/2023,3042000000,764000000,2278000000,-2142000000,,-2061000000,-439000000,-1622000000,,,,,-2142000000,-2085000000,-1622000000,,,2312000000,1764000000,344000000,81000000,,CART
31/12/2022,2551000000,720000000,1831000000,62000000,-8000000,71000000,-357000000,428000000,0.278522,0.278522,276459151,276459151,62000000,109000000,428000000,,,518000000,999000000,252000000,17000000,,CART
31/12/2021,1834000000,608000000,1226000000,-86000000,12000000,-72000000,1000000,-73000000,-0.264053,-0.264053,276459151,276459151,-86000000,-59000000,-73000000,,,368000000,682000000,262000000,2000000,,CART
31/12/2020,1477000000,598000000,879000000,-75000000,,-70000000,0,-70000000,-0.253202,-0.253202,276459151,276459151,-75000000,-55000000,-70000000,,,194000000,436000000,324000000,5000000,,CART
31/12/2023,33107120000,28958102000,4149018000,1551303000,-58225000,1164354000,254991000,909363000,16.03,15.84,56359000,56359000,1493078000,1738826000,909363000,-5858000,,,2416599000,,,328724000,ARW
31/12/2022,37124422000,32287797000,4836625000,2078732000,-8934000,1884150000,448992000,1435158000,22.01,21.8,64838000,64838000,2069798000,2273778000,1435158000,-8274000,,,2570511000,,,185648000,ARW
31/12/2021,34477018000,30274653000,4202365000,1567035000,1066000,1436374000,325906000,1110468000,15.29,15.1,72472000,72472000,1568101000,1765663000,1110468000,-2271000,,,2440210000,,,131727000,ARW
31/12/2020,28673363000,25482233000,3191130000,912163000,-15694000,759259000,172795000,586464000,7.49,7.43,77992000,77992000,896469000,1100690000,586464000,-2026000,,,2089909000,,,137210000,ARW
31/12/2023,4922000000,3820000000,1102000000,469000000,,501000000,126000000,375000000,6.61,6.56,57000000,57000000,541000000,622000000,375000000,,,65000000,496000000,,72000000,40000000,TNET
31/12/2022,4885000000,3766000000,1119000000,499000000,,482000000,127000000,355000000,5.66,5.61,63000000,63000000,521000000,610000000,355000000,,,73000000,483000000,,22000000,39000000,TNET
31/12/2021,4540000000,3603000000,937000000,455000000,,441000000,103000000,338000000,5.13,5.07,66000000,66000000,461000000,555000000,338000000,,,50000000,378000000,,6000000,20000000,TNET
31/12/2020,4034000000,3241000000,793000000,368000000,,357000000,85000000,272000000,4.03,3.99,67000000,67000000,378000000,460000000,272000000,,,40000000,338000000,,10000000,21000000,TNET
31/12/2023,2086400000,1281400000,805000000,283800000,800000,267000000,63200000,255900000,,,,,289700000,329000000,203800000,,,,521200000,,5100000,22700000,CR
31/12/2022,2035000000,1321400000,713600000,200300000,78000000,271400000,99800000,401100000,7.11,7.01,56400000,56400000,281500000,251000000,171600000,0,,,513300000,,3200000,10100000,CR
31/12/2021,2062900000,1374100000,688800000,221700000,15600000,233700000,36300000,435400000,7.46,7.36,58400000,58400000,238600000,277000000,197400000,0,,,467100000,,1300000,4900000,CR
31/12/2020,2936900000,1930700000,1006200000,308100000,-30300000,224500000,43400000,181100000,3.104631,3.08,58300000,58300000,279800000,452500000,181100000,-100000,,,698100000,,2000000,55300000,CR
31/12/2023,6837384000,4315543000,2521841000,389511000,-39280000,343740000,84884000,258856000,2.53,2.5,102479000,102479000,356371000,660670000,258856000,,,,2000437000,,6912000,12631000,SFM
31/12/2022,6404223000,4055659000,2348564000,369385000,-11025000,349313000,88149000,261164000,2.41,2.39,108232000,108232000,358095000,613502000,261164000,,,,1855649000,,535000,8782000,SFM
31/12/2021,6099869000,3890657000,2209212000,338749000,-4673000,322392000,78235000,244157000,2.12,2.1,115377000,115377000,334076000,572807000,244157000,,,,1748205000,,,11684000,SFM
31/12/2020,6468759000,4089470000,2379289000,391296000,369000,376878000,89428000,287450000,2.44,2.43,117821000,117821000,391665000,617079000,287450000,,,,1863869000,,,14787000,SFM
31/12/2022,39737368000,30753137000,8984231000,5846433000,2743262000,2702471000,-118404000,2820875000,2.5168,2.5056,467269250,467269250,8588919000,9255620000,2702471000,-1644843000,,,3252610000,,388768000,5886448000,CSAN
31/12/2021,25865001000,19864248000,6000753000,3992026000,6605152000,6250876000,-445584000,6696460000,13.7628,13.7164,458633250,458633250,10570555000,11109460000,6250876000,-384320000,,,2295776000,,411394000,4319679000,CSAN
31/12/2020,20437835000,14999823000,5438012000,3218092000,1705373000,1990961000,502667000,1488294000,1.874,1.8548,458633250,458633250,4990385000,6597120000,1990961000,-628812000,0,,2251726000,-29823000,201060000,2999424000,CSAN
31/12/2023,698099000,177888000,520211000,-330622000,-470000,-307041000,1192000,-308233000,,,,,-307041000,-293390000,-308233000,,,262177000,588656000,,24051000,0,KVYO
